,F_stats,F_stats_SN,F_stats_ns,t_scores,t_scores_SN,t_scores_ns
2388986342.xml,[],[],[],[],[],[]
1266149906.xml,[],[],[],[],[],[]
614504953.xml,[],[],[],[],[],[]
1620027748.xml,[],[],[],[],[],[]
614323566.xml,[],[],[],[],[],[]
614322616.xml,[],[],[],"['t   (28) = 3.19, p < .01', 't   (28) = 2.05, p = .047', 't   (28) = 0.44, p > .20', 't   (28) = 2.18, p < .05', 't   (34) = 2.77, p < .01', 't   (34) = 2.24, p < .05', 't   (34) = 0.57, p > .20', 't   (34) = 2.25, p < .05', 't   (26) = 1.11, p > .20', 't   (26) = 1.67, p = .10', 't   (26) = 2.77, p = .01', 't   (26) = 3.13, p < .01', 't   (26) = 0.18, p > .20', 't   (26) = 2.54, p < .05']",[],[]
614482885.xml,"['F(3, 86) = 25.0, p < .0001']",[],"['F(1, 92) = 2.10, ns', 'F(1, 46) = 2.67, ns', 'F(1, 92) = 1.92, ns']",[],[],"['t(44) = 1.56, ns', 't(22) = 1.00, ns.']"
2110966571.xml,"['F(1, 240) = 7.45, p < .01', 'F(1, 240) = 39.8, p < .001', 'F(3, 240) = 9.50, p < .001', 'F(1, 240) = 3.23, p = .07', 'F(1, 240) = 8.02, p < .001', 'F(1, 126) = 26.28, p < .001', 'F(1, 126) = 14.41, p < .001', 'F(1, 126) = 6.64, p < .02', 'F(1, 126) = 3.28, p = .07', 'F(1, 240) = 1.91, p > .16', 'F(1, 240) = 8.99, p < .01', 'F(1, 240) = 2.91, p < .05', 'F(3, 240) = 2.69, p < .05', 'F(3, 248) = 6.03, p < .001', 'F(3, 124) = 3.08, p < .05']",[],[],[],[],[]
614313909.xml,"['F(5, 220) = 126.2, p < .001', 'F(1, 64) = 6.97, p < .05', 'F(5, 329) = 121.2, p < .001', 'F(25, 320) = 2.4, p < .01', 'F(5, 320) = 9.7, p < .001', 'F(5, 320) = 5.3, p < .001', 'F(5, 320) = 5.0, p < .001', 'F(5, 320) = 2.9, p < .05', 'F(5, 64) = 3.0, p < .05', 'F(1, 64) = 5.2, p < .05', 'F(1, 64) = 4.9, p < .05', 'F(5, 62) = 2.3, p < .06', 'F(1, 62) = 9.1, p < .01', 'F(5, 63) = 75.6, p < .05', 'F(1, 11) = 9.1, p < .05', 'F(1, 11) = 6.0, p < .05']",[],"['F(2, 33) = 0.6, ns.', 'F(3, 44) = 1.00, ns', 'F(5, 64) = 1.5, ns.']",[],[],[]
1626164965.xml,"['F(1, 17) = 101.38, p < .001', 'F(8, 136) = 14.86, p < .001', 'F(8, 136) = 1.83, p = .076', 'F(1, 17) = 1.71, p = .20', 'F(1, 17) = 6.63, p = .02', 'F(1, 17) = 4.87, p < .05', 'F(1, 17) = 108.69, p < .001', 'F(2, 34) = 159.67, p < .001', 'F(2, 34) = 18.89, p < .001', 'F(1, 17) = 5.27, p < .04', 'F(1, 17) = 89.98, p < .001', 'F(1, 17) = 105.06, p < .001', 'F(2, 34) = 1.30, p > .25', 'F(2, 34) = 1.17, p > .30', 'F(2, 34) = 12.30, p < .001', 'F(8, 136) = 23.33, p < .001', 'F(16, 272) = 1.94, p < .02', 'F(1, 17) = 18.78, p < .001', 'F(1, 17) = 17.68, p = .001', 'F(1, 17) = 6.95, p < .02', 'F(2, 34) = 179.82, p < .001', 'F(2, 34) = 11.57, p < .001', 'F(4, 68) = 3.72, p < .01', 'F(1, 17) = 1.66, p > .20', 'F(1, 17) = 25.78, p < .001', 'F(1, 17) = 10.77, p < .005', 'F(1, 17) = 15.80, p = .001', 'F(1, 17) = 10.96, p < .005', 'F(2, 34) = 15.61, p < .001', 'F(8, 136) = 19.47, p < .001', 'F(1, 17) = 5.24, p < .05', 'F(2, 34) = 167.19, p < .001', 'F(2, 34) = 15.67, p < .001', 'F(4, 68) = 4.47, p < .005', 'F(1, 34) = 158.76, p < .001', 'F(2, 68) = 41.83, p < .001', 'F(2, 68) = 377.85, p < .001', 'F(1, 34) = 40.98, p < .001', 'F(1, 34) = 26.09, p < .001', 'F(1, 34) = 169.00, p < .001', 'F(1, 34) = 83.18, p < .001', 'F(2, 68) = 3.41, p = .039', 'F(1, 34) = 14.58, p < .001', 'F(1, 34) = 4.12, p = .05', 'F(1, 34) = 2.68, p > .10', 'F(1, 34) = 19.58, p < .001', 'F(1, 17) = 92.01, p < .001', 'F(1, 17) = 23.59, p < .001', 'F(2, 34) = 111.55, p < .001', 'F(1, 17) = 19.63, p < .001', 'F(1, 17) = 23.59, p < .001', 'F(1, 17) = 53.89, p < .001', 'F(1, 17) = 97.44, p < .001', 'F(2, 34) = 2.40, p < .10', 'F(1, 34) = 28.20, p < .001']",[],[],"['t(17) = 1.66, p > .10', 't(17) = 5.27, p < .001', 't(34) = 10.29, p < .001', 't(34) = 2.62, p < .02', 't(34) = 4.88, p < .001', 't(17) = .53, p > .50', 't(17) = 2.99, p = .008', 't(17) = 0.96, p > .30', 't(17) = 1.93, p < .035']",[],[]
