,File,Original,Type,Reported p-value,Recalculated p-value
5007,1668009131.xml,"F(1, 141) = .77, p = .381",f,0.381,0.30829294612204877
11585,614470303.xml,"F(1, 36) = 0.76, p = .39",f,0.39,0.30877148554778405
13373,1492507380.xml,"F(1, 54) = 0.78, p = .382",f,0.382,0.303092286594809
13775,614335190.xml,"F(1, 418) = 0.79, p   < .4",f,0.4,0.30202462043681905
14084,614452764.xml,"F(1, 174) = 0.74, p > .39",f,0.39,0.31944820519813627
16080,2207611532.xml,"F(1, 113) = .756, p = .386",f,0.386,0.3130572849459901
16945,614475355.xml,"F(1, 46) = 0.76, p = .39",f,0.39,0.30967161239398566
20676,1932890219.xml,"F(1, 36) = 0.78, p = .383",f,0.383,0.30173561287876344
27071,614380881.xml,"F(1, 72) = 0.75, p < .388",f,0.388,0.31448737888078626
30376,614501181.xml,"F(1, 16) = 0.72, p = .41",f,0.41,0.31840061280798393
31202,2198820582.xml,"F(1, 392) = 0.75, p = .39",f,0.39,0.3162150718653814
31299,614492337.xml,"F(1, 15) = 0.78, p = .39",f,0.39,0.296144681849766
31364,614311279.xml,"Fs(1, 47) < .82, p = .40",f,0.4,0.2893424167008087
38101,614449074.xml,"F(1, 134) = 0.74, p = .39",f,0.39,0.31918406290455603
40494,1942907124.xml,"F(1, 115) = 0.74, p = .390",f,0.39,0.3189944406291958
41846,924960831.xml,"F(1, 37) = 0.75, p = .393",f,0.393,0.31250427502162187
48457,2239318509.xml,"F(1, 1040) = 0.84, p = .40",f,0.4,0.28586477826112366
50855,1795483012.xml,"F(1, 171) = 0.74, p = .390",f,0.39,0.3194326713825554
51438,614332548.xml,"F(1, 23) = 0.77, p   = .39",f,0.39,0.3029210450472245
53022,1856674931.xml,"F(1, 333) = .74, p = .39",f,0.39,0.3198714406967123
57422,614315882.xml,"F(1, 15) = 0.75, p < .40",f,0.4,0.3066423493654416
63143,1835072018.xml,"F(1, 150) = 0.74, p = .390",f,0.39,0.31930658149134494
64276,1081875625.xml,"F(1, 130) = 0.75, p = .39",f,0.39,0.3154297472360293
69629,614525659.xml,"F(1, 132) = 0.76, p = .39",f,0.39,0.31179953762474616
74669,1285624298.xml,"F(1, 146) = 0.74, p = .39",f,0.39,0.31927846270317667
77524,902805776.xml,"F(1, 43) = 0.76, p = .39",f,0.39,0.3094451346902943
90191,2243668290.xml,"F(1, 198) = 0.76, p = .386",f,0.386,0.3121814102027461
96728,1266150105.xml,"F(1, 155) = 0.76, p = .39",f,0.39,0.3119694396912914
