,Title,Date Published,Peer Review,DOI,Author,Keywords,Methodology,References,Journal,Volume,Issue,Pages
614337945.xml,"Induced mood and preschoolers' behavior: Isolating the effects of hedonic tone and degree of arousal
",1987-03-01,True,10.1037/0022-3514.52.3.620,"['Ridgeway, Doreen', 'Waters, Everett']","['hedonic tone of induced mood & level of arousal, persistence behavior, preschool age children']",['Empirical Study'],27.0,Journal of Personality and Social Psychology,52.0,3.0,620-625
1647028895.xml,"The equilibrium model of relationship maintenance
",2015-01-01,True,10.1037/pspi0000004,"['Murray, Sandra L.', 'Holmes, John G.', 'Griffin, Dale W.', 'Derrick, Jaye L.']","['relationships', 'risk', 'threat-mitigation', 'trust']","['Empirical Study', 'Longitudinal Study', 'Quantitative Study']",90.0,Journal of Personality and Social Psychology,108.0,1.0,93-113
614404963.xml,"The statistical analysis of data from small groups
",2002-07-01,True,10.1037/0022-3514.83.1.126,"['Kenny, David A.', 'Mannetti, Lucia', 'Pierro, Antonio', 'Livi, Stefano', 'Kashy, Deborah A.']","['statistical analysis', 'small group data', ""group members' scores"", 'nonindependence', 'multilevel modeling']",[],38.0,Journal of Personality and Social Psychology,83.0,1.0,126-137
614332724.xml,"Personality differences predict health-risk behaviors in young adulthood: Evidence from a longitudinal study
",1997-11-01,True,10.1037/0022-3514.73.5.1052,"['Caspi, Avshalom', 'Begg, Dot', 'Dickson, Nigel', 'Harrington, HonaLee', 'Langley, John', 'Moffitt, Terrie E.', 'Silva, Phil A.']","['personality traits, health risk behaviors, 21 yr olds, longitudinal study']","['Empirical Study', 'Longitudinal Study']",72.0,Journal of Personality and Social Psychology,73.0,5.0,1052-1063
614304222.xml,"Victim and perpetrator accounts of interpersonal conflict: Autobiographical narratives about anger
",1990-11-01,True,10.1037/0022-3514.59.5.994,"['Baumeister, Roy F.', 'Stillwell, Arlene', 'Wotman, Sara R.']","['autobiographical accounts of anger, college student victims vs perpetrators']",['Empirical Study'],42.0,Journal of Personality and Social Psychology,59.0,5.0,994-1005
614357009.xml,"Attention to behavioral events during interaction: Two actor–observer gaps and three attempts to close them
",2001-08-01,True,10.1037/0022-3514.81.2.278,"['Malle, Bertram F.', 'Pearce, Gale E.']","['social interactions', 'attention', 'behavioral events', 'attribution']",['Empirical Study'],97.0,Journal of Personality and Social Psychology,81.0,2.0,278-294
953188771.xml,"Changing beliefs and behavior through experience-taking
",2012-07-01,True,10.1037/a0027525,"['Kaufman, Geoff F.', 'Libby, Lisa K.']","['fictional narratives', 'mental simulation', 'persuasion', 'self–other overlap', 'stereotypes and prejudice']","['Empirical Study', 'Quantitative Study']",64.0,Journal of Personality and Social Psychology,103.0,1.0,1-19
2078747475.xml,"Personality characteristics below facets: A replication and meta-analysis of cross-rater agreement, rank-order stability, heritability, and utility of personality nuances
",2019-10-01,True,10.1037/pspp0000202,"['Mõttus, René', 'Sinick, Jonah', 'Terracciano, Antonio', 'Hřebíčková, Martina', 'Kandler, Christian', 'Ando, Juko', 'Mortensen, Erik Lykke', 'Colodro-Conde, Lucía', 'Jang, Kerry L.']","['items', 'Big Five', 'Five-Factor Model', 'personality nuances', 'trait hierarchy']","['Empirical Study', 'Experimental Replication', 'Meta Analysis', 'Quantitative Study']",63.0,Journal of Personality and Social Psychology,117.0,4.0,e35-e50
614309032.xml,"The sociobiology of bereavement: A reply to Littlefield and Rushton
",1988-08-01,True,10.1037/0022-3514.55.2.272,"['Archer, John']","['sociobiological perspective on severity of grief following death of child, parents, commentary']",[],72.0,Journal of Personality and Social Psychology,55.0,2.0,272-278
614510079.xml,"Social support, problem solving, and the longitudinal course of newlywed marriage
",2010-04-01,True,10.1037/a0017578,"['Sullivan, Kieran T.', 'Pasch, Lauri A.', 'Johnson, Matthew D.', 'Bradbury, Thomas N.']","['divorce', 'marital satisfaction', 'marriage', 'problem solving', 'social support', 'newlyweds']","['Empirical Study', 'Quantitative Study']",44.0,Journal of Personality and Social Psychology,98.0,4.0,631-644
