,F_stats,F_stats_ns,t_scores,t_scores_ns
614337945.xml,[],[],"['t   (41)   = 4.10,    p   < .01', 't   (41)   = −3.56,    p   < .01', 't   (41)   = 8.21,    p   < .01', 't   (41)   = 4.82,    p   < .01', 't   (41)   = −2.57,    p   < .01', 't   (41)   = 1.78,    p   < .05', 't   (40)   = 2.22,    p   < .05', 't   (40)   = 1.74,    p   < .05', 't   (41)   = 1.66,    p   < .05', 't   (35)   = 1.85,    p   < .05', 't   (35)   = −1.66,    p   < .05', 't   (39)   = 1.89,    p   < .05']",[]
1647028895.xml,[],[],[],[]
614404963.xml,"['F(1, 6) = 0.89, p = .382', 'F(1, 63) = 17.02, p < .001', 'F(1, 62) = 23.33, p < .001', 'F(1, 62) = 5.28, p = .025', 'F(1, 6) = 0.89, p = .382']",[],[],[]
614332724.xml,"['F(10, 776) = 6.84, p   < .001', 'F(10, 722) = 6.32, p   < .001', 'F(10, 741) = 3.35, p   < .001', 'F(10, 745) = 4.47, p   < .001', 'F(20, 1742) = 5.20, p   < .01']",[],[],[]
614304222.xml,[],[],[],[]
614357009.xml,"['F(1, 57) = 27.5, p < .001', 'F(1, 57) = 5.7, p < .05', 'F(1, 57) = 242.6, p < .001', 'F(2, 57) = 3.1, p = .05', 'F(2, 57) = 4.8, p < .05', 'F(1, 57) = 79.4, p < .001', 'F(1, 57) = 13.6, p < .001', 'F(1, 57) = 17.2, p < .001', 'F(1, 57) = 6.2, p < .05', 'F(1, 57) = 9.5, p < .005', 'F(1, 58) = 3.1, p = .08', 'F(1, 58) = 22.7, p < .001', 'F(2, 58) = 9.6, p < .001', 'F(1, 58) = 17.6, p < .001', 'F(1, 58) = 113.7, p < .001', 'F(1, 58) = 5.2, p < .01', 'F(1, 58) = 50.6, p < .001', 'F(1, 58) = 6.6, p < .02', 'F(1, 58) = 2.7, p = .10', 'F(1, 58) = 14.7, p < .001', 'F(1, 58) = 9.7, p < .005', 'F(2, 58) = 4.8, p < .02', 'F(1, 91) = 14.7, p <.001', 'F(1, 91) = 58.2, p < .001', 'F(1, 91) = 93.2, p < .001', 'F(1, 91) = 21.6, p < .001', 'F(1, 91) = 10.6, p < .005', 'F(2, 80) = 4.2, p < .02', 'F(1, 91) = 4.4, p < .05', 'F(1, 91) = 2.5, p = .11', 'F(1, 91) = 15.9, p < .001', 'F(1, 91) = 29.5, p < .001', 'F(1, 91) = 25.8, p < .001']",[],"['t(57) = 3.7, p < .001', 't(58) = 4.2, p < .001']",[]
953188771.xml,"['F(1, 53) = 6.77, p < .02', 'F(1, 53) = 7.51, p < .01', 'F(2, 122) = 14.95, p < .01', 'F(2, 122) = 11.08, p < .01', 'F(2, 122) = 11.08, p < .01', 'F(2, 122) = 9.77, p < .01', 'F(1, 78) = 2.29, p < .14', 'F(1, 78) = 0.06, p > .80', 'F(1, 78) = 5.84, p < .02', 'F(1, 78) = 0.44, p > .50', 'F(1, 78) = 0.03, p > .80', 'F(1, 78) = 2.20, p < .14', 'F(2, 67) = 5.78, p < .01', 'F(2, 66) = 1.05, p < .36', 'F(2, 66) = 18.76, p < .001', 'F(2, 66) = 16.67, p < .001', 'F(2, 66) = 11.12, p < .001', 'F(2, 127) = 4.54, p < .02', 'F(2, 127) = 2.47, p < .09', 'F(2, 127) = 0.89, p > .70', 'F(2, 126) = 5.63, p < .01']",[],"['t(50) = 3.40, p < .01', 't(50) = 1.67, p < .10', 't(117) = 2.73, p < .01', 't(117) = 2.11, p < .04', 't(117) = 2.30, p < .03', 't(117) = 3.82, p < .001', 't(117) = 2.18, p < .04', 't(117) = 0.74, p > .40', 't(77) = 2.46, p < .02', 't(77) = 1.32, p < .20', 't(80) = 2.39, p < .02', 't(80) = 1.12, p > .20', 't(68) = 2.45, p < .02', 't(68) = 0.79, p > .40', 't(67) = 5.50, p < .01', 't(67) = 3.96, p < .01', 't(67) = 2.56, p < .02', 't(67) = 3.21, p < .01', 't(67) = 4.59, p < .001', 't(67) = 1.31, p > .20', 't(127) = 2.98, p < .01', 't(127) = 1.11, p > .20', 't(128) = 2.01, p < .05', 't(127) = 0.17, p > .80', 't(128) = 3.19, p < .01', 't(128) = 0.68, p > .40']",[]
2078747475.xml,[],[],[],[]
614309032.xml,[],[],[],[]
614510079.xml,[],[],[],[]
